"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"DIP-24_200";1;"CardEdge24";;;
2;"G***";"logo";1;"LOGO";;;
3;"Z2,Z1";"D_5W_P12.70mm_Horizontal";2;"3V6";;;
4;"X1";"Crystal_HC18-U_Vertical";1;"12Mhz";;;
5;"U1";"DIP-20_W7.62mm";1;"ATtiny4313-PU";;;
6;"R9,R8,R6";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";3;"220R";;;
7;"R5";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"1M";;;
8;"R4";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"1K5";;;
9;"R3,R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"68R";;;
10;"R1";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"4K7";;;
11;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Test";;;
12;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP";;;
13;"J2";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB";;;
14;"D3";"LED_D3.0mm";1;"SCROLL";;;
15;"D2";"LED_D3.0mm";1;"NUM";;;
16;"D1";"LED_D3.0mm";1;"CAPS";;;
17;"C4";"CP_Radial_D4.0mm_P2.00mm";1;"0.1uF";;;
18;"C3";"CP_Radial_D4.0mm_P2.00mm";1;"10uF";;;
19;"C2,C1";"C_Disc_D7.5mm_W2.5mm_P5.00mm";2;"27pF";;;
